uid,movement
29510,1
01073,1
21145,1
40143,2
40135,1
47097,1
47075,1
47069,1
47053,1
47047,1
47045,1
47037,1
17163,1
40101,1
40109,1
17119,1
47113,2
40021,1
47131,1
40079,1
47157,82
47167,3
29213,2
29215,1
29209,1
29207,1
29201,1
29229,1
29225,1
29023,2
29031,1
28049,2
28043,1
29009,1
28033,16
28027,6
28011,2
29091,2
29095,1
29097,1
29099,1
29069,2
29067,1
29077,5
28093,1
29071,1
29043,2
28089,1
28083,1
28081,1
28071,1
22073,2
22067,1
48201,1
22015,1
22017,1
29149,2
29143,1
29145,1
29155,1
29153,1
29105,1
29109,1
29161,1
29169,1
29183,1
29181,1
29189,3
29187,1
48113,1
48439,1
05063,365
05065,11
05067,104
05069,42
05077,10
05075,12
05079,3
05071,4
05045,1926
05047,1
05041,2
05043,1
05049,3
05059,6
05057,1
05055,9
05053,5
05051,19
05021,1
05023,1881
05025,2
05027,1
05029,19
05033,2
05031,29
05037,18
05035,14
05039,1
05001,9
48037,1
05003,1
05009,5
05005,12
05007,3
05015,1
05011,1
05019,1
05017,1
05083,1
05089,4
05087,1
05085,390
05093,9
05095,10
05091,1
28121,1
28119,1
28143,2
28133,1
28137,1
28135,1
28151,2
05119,869
05115,22
05117,418
05111,19
05113,1
05107,8
05105,5
05103,1
05101,2
05123,24
05125,50
05121,5
05129,4
05135,12
05131,4
05139,1
05137,12
05141,17
05143,4
05147,460
05149,4
28107,2
